PortName,Country,Latitude,Longitude,Region,Sub Region,country_id,created_by
Guayaquil,Ecuador,-79.9,-2.166666667,Americas,Latin America and the Caribbean,64,1
Posorja,Ecuador,-80.25,-2.7,Americas,Latin America and the Caribbean,64,1
Puerto Bolivar,Ecuador,-79.98333333,-3.266666667,Americas,Latin America and the Caribbean,64,1
Dumyat (Damietta),Egypt,31.81666667,31.41666667,Africa,Northern Africa,65,1
El Dekheila,Egypt,29.82126,31.13133,Africa,Northern Africa,65,1
El Iskandariya (Alexandria),Egypt,29.91666667,31.18333333,Africa,Northern Africa,65,1
Port Said,Egypt,32.3019,31.26531,Africa,Northern Africa,65,1
Sokhna Port,Egypt,32.35,29.65,Africa,Northern Africa,65,1
Acajutla,El Salvador,-89.8275,13.59278,Americas,Latin America and the Caribbean,66,1
San Salvador,El Salvador,-89.18718,13.68935,Americas,Latin America and the Caribbean,66,1
Bata,Equatorial Guinea,9.76582,1.86391,Africa,Sub-Saharan Africa,67,1
Malabo,Equatorial Guinea,8.78166,3.75578,Africa,Sub-Saharan Africa,67,1
Massawa (Mitsiwa),Eritrea,39.45,15.6,Africa,Sub-Saharan Africa,68,1
Kunda,Estonia,26.53333333,59.51666667,Europe,Northern Europe,69,1
Muuga,Estonia,24.96666667,59.5,Europe,Northern Europe,69,1
Paldiski,Estonia,24.05,59.35,Europe,Northern Europe,69,1
Tallinn,Estonia,24.73333333,59.43333333,Europe,Northern Europe,69,1
Kollafjordur,Faroe Islands,-6.883333333,62.11666667,Europe,Northern Europe,72,1
Thorshavn,Faroe Islands,-6.766666667,62.01666667,Europe,Northern Europe,72,1
Lautoka,Fiji Islands,177.45,-17.61666667,Oceania,Melanesia,73,1
Suva,Fiji Islands,178.45,-18.13333333,Oceania,Melanesia,73,1
Abo (Turku),Finland,22.28333333,60.45,Europe,Northern Europe,74,1
Bjorneborg (Pori),Finland,21.8,61.48333333,Europe,Northern Europe,74,1
Fredrikshamn (Hamina),Finland,27.2,60.56666667,Europe,Northern Europe,74,1
Hamina (Fredrikshamn),Finland,27.2,60.56666667,Europe,Northern Europe,74,1
Hango (Hanko),Finland,22.95,59.83333,Europe,Northern Europe,74,1
Hanko (Hango),Finland,22.95,59.83333,Europe,Northern Europe,74,1
Helsingfors (Helsinki),Finland,24.93545,60.16952,Europe,Northern Europe,74,1
Helsinki (Helsingfors),Finland,24.93545,60.16952,Europe,Northern Europe,74,1
Jakobstad (Pietarsaari),Finland,22.78333333,63.68333333,Europe,Northern Europe,74,1
Karleby (Kokkola),Finland,23.11666667,63.83333333,Europe,Northern Europe,74,1
Kemi/Tornea (Kemi/Tornio),Finland,24.56666667,65.73333333,Europe,Northern Europe,74,1
Kemi/Tornio (Kemi/Tornea),Finland,24.56666667,65.73333333,Europe,Northern Europe,74,1
Kokkola (Karleby),Finland,23.11666667,63.83333333,Europe,Northern Europe,74,1
Kotka,Finland,26.91666667,60.46666667,Europe,Northern Europe,74,1
Pietarsaari (Jakobstad),Finland,22.78333333,63.68333333,Europe,Northern Europe,74,1
Pori (Bjorneborg),Finland,21.8,61.48333333,Europe,Northern Europe,74,1
Rauma (Raumo),Finland,21.5,61.13333333,Europe,Northern Europe,74,1
Raumo (Rauma),Finland,21.5,61.13333333,Europe,Northern Europe,74,1
